Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
335,2026-05-23,5599,Imported Upholstery,2892808
335,2026-05-23,11,Domestic Casegoods,1842
335,2026-05-23,516,Import Bedding,268698
335,2026-05-23,11234,Upholstery,3117381
42 ,2026-05-23,0,Domestic Casegoods,0
42 ,2026-05-23,0,Import Casegoods,0
42 ,2026-05-23,0,Upholstery,0
5  ,2026-05-23,16923,Upholstery,4894036
5  ,2026-05-23,109,Marketplace,0
5  ,2026-05-23,5764,Domestic Casegoods,600842
5  ,2026-05-23,32280,Import Casegoods,5264710
5  ,2026-05-23,3794,Imported Upholstery,2296966
5  ,2026-05-23,7788,Import Bedding,1476132
5  ,2026-05-23,11396,Domestic Bedding,4201971
ECR,2026-05-23,31745,Upholstery,9288163
ECR,2026-05-23,224,Marketplace,0
ECR,2026-05-23,55957,Import Casegoods,9688008
ECR,2026-05-23,9841,Domestic Bedding,3333292
ECR,2026-05-23,4309,Imported Upholstery,2574838
ECR,2026-05-23,6564,Import Bedding,1094487
ECR,2026-05-23,10091,Domestic Casegoods,1025362
1  ,2026-05-30,45384,Import Casegoods,7125269
1  ,2026-05-30,30447,Upholstery,8608814
1  ,2026-05-30,3679,Imported Upholstery,2070656
1  ,2026-05-30,6761,Import Bedding,1307086
1  ,2026-05-30,11104,Domestic Bedding,4006464
1  ,2026-05-30,18088,Domestic Casegoods,1879274
15 ,2026-05-30,29797,Import Casegoods,5057942
15 ,2026-05-30,8283,Domestic Casegoods,867957
15 ,2026-05-30,14513,Domestic Bedding,5578060
15 ,2026-05-30,43,Marketplace,0
15 ,2026-05-30,2354,Imported Upholstery,1383608
15 ,2026-05-30,11406,Import Bedding,2002654
15 ,2026-05-30,17425,Upholstery,4959336
17 ,2026-05-30,3551,Imported Upholstery,2116795
17 ,2026-05-30,20599,Upholstery,5940841
17 ,2026-05-30,9620,Domestic Casegoods,962564
17 ,2026-05-30,56995,Import Casegoods,9416262
17 ,2026-05-30,12012,Domestic Bedding,4490885
17 ,2026-05-30,7959,Import Bedding,1609258
28 ,2026-05-30,7905,Domestic Bedding,3051638
28 ,2026-05-30,22736,Import Casegoods,3707620
28 ,2026-05-30,6084,Import Bedding,1246044
28 ,2026-05-30,11059,Upholstery,3264274
28 ,2026-05-30,2781,Imported Upholstery,1801266
28 ,2026-05-30,4690,Domestic Casegoods,480404
335,2026-05-30,471,Import Bedding,247902
335,2026-05-30,12,Domestic Casegoods,1903
335,2026-05-30,33338,Import Casegoods,6165002
335,2026-05-30,6696,Imported Upholstery,3760612
335,2026-05-30,12103,Upholstery,3364638
42 ,2026-05-30,0,Domestic Casegoods,0
42 ,2026-05-30,0,Upholstery,0
42 ,2026-05-30,0,Import Casegoods,0
5  ,2026-05-30,5676,Domestic Casegoods,587854
5  ,2026-05-30,3996,Imported Upholstery,2523674
5  ,2026-05-30,16458,Upholstery,4760613
5  ,2026-05-30,32662,Import Casegoods,5126730
5  ,2026-05-30,13995,Domestic Bedding,5365579
5  ,2026-05-30,10205,Import Bedding,1855374
5  ,2026-05-30,45,Marketplace,0
ECR,2026-05-30,95,Marketplace,0
ECR,2026-05-30,8208,Import Bedding,1350427
ECR,2026-05-30,41538,Import Casegoods,7336325
ECR,2026-05-30,12429,Domestic Bedding,4362121
ECR,2026-05-30,32475,Upholstery,9375474
ECR,2026-05-30,6191,Imported Upholstery,3759752
ECR,2026-05-30,10447,Domestic Casegoods,1048684
1  ,2026-06-06,43643,Import Casegoods,6816760
1  ,2026-06-06,24704,Upholstery,7026172
1  ,2026-06-06,3894,Imported Upholstery,2135706
1  ,2026-06-06,6302,Domestic Bedding,2066729
1  ,2026-06-06,17933,Domestic Casegoods,1853736
1  ,2026-06-06,4013,Import Bedding,675342
15 ,2026-06-06,28086,Import Casegoods,4580551
15 ,2026-06-06,7454,Domestic Bedding,2655727
15 ,2026-06-06,2326,Imported Upholstery,1346950
15 ,2026-06-06,8274,Domestic Casegoods,887267
15 ,2026-06-06,16025,Upholstery,4573318
15 ,2026-06-06,5876,Import Bedding,1046608
15 ,2026-06-06,220,Marketplace,0
17 ,2026-06-06,9080,Domestic Casegoods,913506
17 ,2026-06-06,6163,Domestic Bedding,2122472
17 ,2026-06-06,18209,Upholstery,5237280
17 ,2026-06-06,39379,Import Casegoods,6734386
17 ,2026-06-06,4150,Imported Upholstery,2359905
17 ,2026-06-06,4863,Import Bedding,829164
28 ,2026-06-06,2400,Imported Upholstery,1525793
28 ,2026-06-06,4050,Import Bedding,734485
28 ,2026-06-06,4664,Domestic Bedding,1588318
28 ,2026-06-06,4712,Domestic Casegoods,502612
28 ,2026-06-06,10469,Upholstery,3065925
28 ,2026-06-06,17911,Import Casegoods,3039742
335,2026-06-06,30977,Import Casegoods,5661578
335,2026-06-06,12,Domestic Casegoods,1814
335,2026-06-06,13191,Upholstery,3767064
335,2026-06-06,466,Import Bedding,241597
335,2026-06-06,6326,Imported Upholstery,3553035
42 ,2026-06-06,0,Import Casegoods,0
42 ,2026-06-06,0,Domestic Casegoods,0
42 ,2026-06-06,0,Upholstery,0
5  ,2026-06-06,15946,Upholstery,4633968
5  ,2026-06-06,32669,Import Casegoods,5181390
5  ,2026-06-06,4684,Imported Upholstery,2503884
5  ,2026-06-06,5479,Import Bedding,992424
5  ,2026-06-06,7280,Domestic Bedding,2595830
5  ,2026-06-06,5964,Domestic Casegoods,644128
5  ,2026-06-06,44,Marketplace,0
ECR,2026-06-06,40711,Import Casegoods,7012875
ECR,2026-06-06,6279,Import Bedding,835405
ECR,2026-06-06,31769,Upholstery,9233748
ECR,2026-06-06,10430,Domestic Casegoods,1084072
ECR,2026-06-06,96,Marketplace,0
ECR,2026-06-06,4697,Imported Upholstery,2699574
ECR,2026-06-06,7481,Domestic Bedding,2367984
1  ,2026-06-13,4934,Import Bedding,899872
1  ,2026-06-13,40622,Import Casegoods,6775741
1  ,2026-06-13,3824,Imported Upholstery,2341852
1  ,2026-06-13,27039,Upholstery,7410871
1  ,2026-06-13,6031,Domestic Bedding,1962717
1  ,2026-06-13,20374,Domestic Casegoods,2068301
15 ,2026-06-13,10835,Domestic Casegoods,1165694
15 ,2026-06-13,77,Marketplace,0
15 ,2026-06-13,28103,Import Casegoods,4519192
15 ,2026-06-13,8027,Import Bedding,1322372
15 ,2026-06-13,7091,Domestic Bedding,2506502
15 ,2026-06-13,2885,Imported Upholstery,1692496
15 ,2026-06-13,18508,Upholstery,5097826
17 ,2026-06-13,11902,Domestic Casegoods,1193188
17 ,2026-06-13,40875,Import Casegoods,7231869
17 ,2026-06-13,20128,Upholstery,5618844
17 ,2026-06-13,6172,Domestic Bedding,2086116
17 ,2026-06-13,3802,Imported Upholstery,2255496
17 ,2026-06-13,5443,Import Bedding,1093094
28 ,2026-06-13,4012,Domestic Bedding,1391902
28 ,2026-06-13,20566,Import Casegoods,3300430
28 ,2026-06-13,13015,Upholstery,3667274
28 ,2026-06-13,2718,Imported Upholstery,1448714
28 ,2026-06-13,4208,Import Bedding,785109
28 ,2026-06-13,6799,Domestic Casegoods,696088
335,2026-06-13,473,Import Bedding,246822
335,2026-06-13,12097,Upholstery,3416154
335,2026-06-13,30096,Import Casegoods,5373452
335,2026-06-13,12,Domestic Casegoods,1903
335,2026-06-13,7213,Imported Upholstery,4001412
42 ,2026-06-13,0,Domestic Casegoods,0
42 ,2026-06-13,0,Upholstery,0
42 ,2026-06-13,0,Import Casegoods,0
5  ,2026-06-13,28903,Import Casegoods,4385852
5  ,2026-06-13,6923,Domestic Bedding,2450764
5  ,2026-06-13,6984,Domestic Casegoods,739358
5  ,2026-06-13,45,Marketplace,0
5  ,2026-06-13,7149,Import Bedding,1389846
5  ,2026-06-13,18669,Upholstery,5351786
5  ,2026-06-13,3365,Imported Upholstery,2056920
ECR,2026-06-13,5558,Imported Upholstery,3371754
ECR,2026-06-13,36604,Upholstery,10441968
ECR,2026-06-13,95,Marketplace,0
ECR,2026-06-13,4297,Import Bedding,705440
ECR,2026-06-13,8203,Domestic Bedding,2544928
ECR,2026-06-13,38641,Import Casegoods,6459244
ECR,2026-06-13,13780,Domestic Casegoods,1402433
1  ,2026-06-20,39589,Import Casegoods,6084090
1  ,2026-06-20,17333,Domestic Casegoods,1763138
1  ,2026-06-20,22435,Upholstery,6304082
1  ,2026-06-20,7010,Domestic Bedding,2259179
1  ,2026-06-20,4831,Import Bedding,792824
1  ,2026-06-20,3302,Imported Upholstery,1813872
15 ,2026-06-20,24690,Import Casegoods,3963524
15 ,2026-06-20,2736,Imported Upholstery,1407552
15 ,2026-06-20,60,Marketplace,0
15 ,2026-06-20,8223,Domestic Bedding,2862317
15 ,2026-06-20,15198,Upholstery,4312270
15 ,2026-06-20,5785,Import Bedding,1043332
15 ,2026-06-20,8093,Domestic Casegoods,856377
17 ,2026-06-20,8524,Domestic Casegoods,865516
17 ,2026-06-20,37123,Import Casegoods,6320122
17 ,2026-06-20,4839,Imported Upholstery,2953581
17 ,2026-06-20,6264,Domestic Bedding,2149388
17 ,2026-06-20,15359,Upholstery,4476020
17 ,2026-06-20,4351,Import Bedding,871511
28 ,2026-06-20,4404,Domestic Casegoods,455883
28 ,2026-06-20,16448,Import Casegoods,2702752
28 ,2026-06-20,4470,Domestic Bedding,1546252
28 ,2026-06-20,9638,Upholstery,2820156
28 ,2026-06-20,1775,Imported Upholstery,1104329
28 ,2026-06-20,3440,Import Bedding,609222
335,2026-06-20,5906,Imported Upholstery,3273124
335,2026-06-20,442,Import Bedding,227526
335,2026-06-20,13,Domestic Casegoods,1981
335,2026-06-20,12199,Upholstery,3454465
335,2026-06-20,29648,Import Casegoods,5309998
42 ,2026-06-20,0,Import Casegoods,0
42 ,2026-06-20,0,Upholstery,0
42 ,2026-06-20,0,Domestic Casegoods,0
5  ,2026-06-20,5878,Import Bedding,1036303
5  ,2026-06-20,7850,Domestic Bedding,2740638
5  ,2026-06-20,5402,Domestic Casegoods,565381
5  ,2026-06-20,27496,Import Casegoods,4294131
5  ,2026-06-20,17194,Upholstery,4918365
5  ,2026-06-20,43,Marketplace,0
5  ,2026-06-20,3564,Imported Upholstery,2112352
ECR,2026-06-20,7875,Domestic Bedding,2457989
ECR,2026-06-20,7310,Import Bedding,1671946
ECR,2026-06-20,5869,Imported Upholstery,3063440
ECR,2026-06-20,9729,Domestic Casegoods,984684
ECR,2026-06-20,32610,Upholstery,9472424
ECR,2026-06-20,33882,Import Casegoods,5463910
ECR,2026-06-20,91,Marketplace,0
1  ,2026-06-27,22687,Upholstery,6373948
1  ,2026-06-27,5206,Import Bedding,953097
1  ,2026-06-27,16998,Domestic Casegoods,1715158
1  ,2026-06-27,33891,Import Casegoods,5269074
1  ,2026-06-27,7607,Domestic Bedding,2614093
1  ,2026-06-27,4140,Imported Upholstery,2456682
15 ,2026-06-27,23595,Import Casegoods,3715016
15 ,2026-06-27,16715,Upholstery,4778096
15 ,2026-06-27,8244,Domestic Casegoods,864087
15 ,2026-06-27,9448,Domestic Bedding,3495653
15 ,2026-06-27,7632,Import Bedding,1381829
15 ,2026-06-27,2300,Imported Upholstery,1201340
15 ,2026-06-27,65,Marketplace,0
17 ,2026-06-27,8897,Domestic Casegoods,896042
17 ,2026-06-27,6422,Import Bedding,1167552
17 ,2026-06-27,15510,Upholstery,4513169
17 ,2026-06-27,7568,Domestic Bedding,2713781
17 ,2026-06-27,5144,Imported Upholstery,2585749
17 ,2026-06-27,32713,Import Casegoods,5472880
28 ,2026-06-27,10532,Upholstery,3092702
28 ,2026-06-27,4000,Import Bedding,743371
28 ,2026-06-27,16093,Import Casegoods,2618377
28 ,2026-06-27,5297,Domestic Bedding,1909152
28 ,2026-06-27,4617,Domestic Casegoods,473022
28 ,2026-06-27,1829,Imported Upholstery,1138500
335,2026-06-27,11,Domestic Casegoods,1736
335,2026-06-27,12329,Upholstery,3441330
335,2026-06-27,6209,Imported Upholstery,3486794
335,2026-06-27,29816,Import Casegoods,5307343
335,2026-06-27,466,Import Bedding,244123
42 ,2026-06-27,0,Upholstery,0
42 ,2026-06-27,0,Domestic Casegoods,0
42 ,2026-06-27,0,Import Casegoods,0
5  ,2026-06-27,7056,Import Bedding,1296026
5  ,2026-06-27,5652,Domestic Casegoods,584986
5  ,2026-06-27,16250,Upholstery,4663351
5  ,2026-06-27,9144,Domestic Bedding,3374089
5  ,2026-06-27,45,Marketplace,0
5  ,2026-06-27,3796,Imported Upholstery,2167930
5  ,2026-06-27,27920,Import Casegoods,4406496
ECR,2026-06-27,4287,Imported Upholstery,2549357
ECR,2026-06-27,5883,Import Bedding,1037369
ECR,2026-06-27,34360,Upholstery,10331514
ECR,2026-06-27,8582,Domestic Bedding,2854816
ECR,2026-06-27,95,Marketplace,0
ECR,2026-06-27,31224,Import Casegoods,5174371
ECR,2026-06-27,10272,Domestic Casegoods,1029768
1  ,2026-07-04,6440,Import Bedding,1204320
1  ,2026-07-04,16607,Domestic Casegoods,1676241
1  ,2026-07-04,9385,Domestic Bedding,3336465
1  ,2026-07-04,35808,Upholstery,10237194
1  ,2026-07-04,32851,Import Casegoods,4911710
1  ,2026-07-04,5178,Imported Upholstery,2384379
15 ,2026-07-04,12414,Domestic Bedding,4693781
15 ,2026-07-04,1991,Imported Upholstery,1141212
15 ,2026-07-04,7638,Domestic Casegoods,800604
15 ,2026-07-04,23454,Import Casegoods,3633224
15 ,2026-07-04,16927,Upholstery,4734701
15 ,2026-07-04,9609,Import Bedding,1730867
15 ,2026-07-04,78,Marketplace,0
17 ,2026-07-04,10109,Domestic Bedding,3758829
17 ,2026-07-04,32979,Import Casegoods,5228354
17 ,2026-07-04,7350,Import Bedding,1443017
17 ,2026-07-04,8492,Domestic Casegoods,854136
17 ,2026-07-04,3410,Imported Upholstery,1941450
17 ,2026-07-04,15792,Upholstery,4775560
28 ,2026-07-04,5244,Import Bedding,982403
28 ,2026-07-04,7230,Domestic Bedding,2702461
28 ,2026-07-04,2305,Imported Upholstery,1262023
28 ,2026-07-04,4277,Domestic Casegoods,437582
28 ,2026-07-04,11798,Upholstery,3599256
28 ,2026-07-04,20267,Import Casegoods,3204404
335,2026-07-04,5555,Imported Upholstery,3157801
335,2026-07-04,11055,Upholstery,3105356
335,2026-07-04,404,Import Bedding,207792
335,2026-07-04,11,Domestic Casegoods,1736
335,2026-07-04,28354,Import Casegoods,4979685
42 ,2026-07-04,0,Import Casegoods,0
42 ,2026-07-04,0,Upholstery,0
42 ,2026-07-04,0,Domestic Casegoods,0
5  ,2026-07-04,29915,Import Casegoods,4881104
5  ,2026-07-04,16338,Upholstery,5126108
5  ,2026-07-04,3075,Imported Upholstery,1869918
5  ,2026-07-04,8837,Import Bedding,1627402
5  ,2026-07-04,53,Marketplace,0
5  ,2026-07-04,5212,Domestic Casegoods,539364
5  ,2026-07-04,11871,Domestic Bedding,4481153
ECR,2026-07-04,9525,Domestic Casegoods,953278
ECR,2026-07-04,34050,Upholstery,9817240
ECR,2026-07-04,114,Marketplace,0
ECR,2026-07-04,7509,Import Bedding,1327421
ECR,2026-07-04,4519,Imported Upholstery,2569382
ECR,2026-07-04,31353,Import Casegoods,5082240
ECR,2026-07-04,10654,Domestic Bedding,3705109
1  ,2026-07-11,9121,Domestic Bedding,3194935
1  ,2026-07-11,17639,Domestic Casegoods,1781868
1  ,2026-07-11,27981,Upholstery,8256156
1  ,2026-07-11,3252,Imported Upholstery,1822679
1  ,2026-07-11,31527,Import Casegoods,4785954
1  ,2026-07-11,6132,Import Bedding,1134906
15 ,2026-07-11,11891,Domestic Bedding,4441337
15 ,2026-07-11,2304,Imported Upholstery,1274264
15 ,2026-07-11,25003,Import Casegoods,4006843
15 ,2026-07-11,16781,Upholstery,4729498
15 ,2026-07-11,8044,Domestic Casegoods,838594
15 ,2026-07-11,9247,Import Bedding,1684599
15 ,2026-07-11,82,Marketplace,0
17 ,2026-07-11,30653,Import Casegoods,5080190
17 ,2026-07-11,6934,Import Bedding,1353629
17 ,2026-07-11,9336,Domestic Bedding,3382967
17 ,2026-07-11,16858,Upholstery,4949361
17 ,2026-07-11,3468,Imported Upholstery,2035228
17 ,2026-07-11,8854,Domestic Casegoods,888148
28 ,2026-07-11,18181,Import Casegoods,3007878
28 ,2026-07-11,4570,Domestic Casegoods,466673
28 ,2026-07-11,11543,Upholstery,3328597
28 ,2026-07-11,1979,Imported Upholstery,1208298
28 ,2026-07-11,5058,Import Bedding,948739
28 ,2026-07-11,6584,Domestic Bedding,2401502
335,2026-07-11,442,Import Bedding,230632
335,2026-07-11,11998,Upholstery,3361499
335,2026-07-11,12,Domestic Casegoods,1903
335,2026-07-11,29390,Import Casegoods,5204324
335,2026-07-11,6516,Imported Upholstery,3539058
42 ,2026-07-11,0,Import Casegoods,0
42 ,2026-07-11,0,Domestic Casegoods,0
42 ,2026-07-11,0,Upholstery,0
5  ,2026-07-11,8606,Import Bedding,1577979
5  ,2026-07-11,53,Marketplace,0
5  ,2026-07-11,34062,Import Casegoods,5241976
5  ,2026-07-11,11277,Domestic Bedding,4194770
5  ,2026-07-11,3333,Imported Upholstery,2014732
5  ,2026-07-11,16256,Upholstery,4740755
5  ,2026-07-11,5540,Domestic Casegoods,570753
ECR,2026-07-11,122,Marketplace,0
ECR,2026-07-11,5261,Imported Upholstery,2923274
ECR,2026-07-11,34770,Import Casegoods,5884515
ECR,2026-07-11,10268,Domestic Bedding,3479706
ECR,2026-07-11,32698,Upholstery,9511087
ECR,2026-07-11,10073,Domestic Casegoods,1010078
ECR,2026-07-11,7393,Import Bedding,1316526
1  ,2026-07-18,6220,Domestic Bedding,2016413
1  ,2026-07-18,24875,Upholstery,6949842
1  ,2026-07-18,4363,Import Bedding,751394
1  ,2026-07-18,3456,Imported Upholstery,1846428
1  ,2026-07-18,17430,Domestic Casegoods,1758662
1  ,2026-07-18,32945,Import Casegoods,5080062
15 ,2026-07-18,6198,Import Bedding,1080213
15 ,2026-07-18,8115,Domestic Casegoods,844420
15 ,2026-07-18,81,Marketplace,0
15 ,2026-07-18,2123,Imported Upholstery,1196743
15 ,2026-07-18,16907,Upholstery,5096782
15 ,2026-07-18,7499,Domestic Bedding,2629304
15 ,2026-07-18,26495,Import Casegoods,4220768
17 ,2026-07-18,6160,Domestic Bedding,2092324
17 ,2026-07-18,32768,Import Casegoods,5555381
17 ,2026-07-18,4715,Import Bedding,879002
17 ,2026-07-18,8862,Domestic Casegoods,886571
17 ,2026-07-18,17065,Upholstery,4928074
17 ,2026-07-18,3769,Imported Upholstery,2124423
28 ,2026-07-18,10508,Upholstery,3073556
28 ,2026-07-18,4190,Domestic Bedding,1443455
28 ,2026-07-18,20281,Import Casegoods,3286413
28 ,2026-07-18,1930,Imported Upholstery,1189751
28 ,2026-07-18,4724,Domestic Casegoods,478884
28 ,2026-07-18,3589,Import Bedding,641133
335,2026-07-18,29422,Import Casegoods,5191413
335,2026-07-18,6062,Imported Upholstery,3316988
335,2026-07-18,13,Domestic Casegoods,1981
335,2026-07-18,463,Import Bedding,238854
335,2026-07-18,12233,Upholstery,3455793
42 ,2026-07-18,0,Upholstery,0
42 ,2026-07-18,0,Domestic Casegoods,0
42 ,2026-07-18,0,Import Casegoods,0
5  ,2026-07-18,6036,Import Bedding,1054888
5  ,2026-07-18,5629,Domestic Casegoods,576728
5  ,2026-07-18,59,Marketplace,0
5  ,2026-07-18,3248,Imported Upholstery,1975276
5  ,2026-07-18,30119,Import Casegoods,4617600
5  ,2026-07-18,7215,Domestic Bedding,2528224
5  ,2026-07-18,16219,Upholstery,4720786
ECR,2026-07-18,121,Marketplace,0
ECR,2026-07-18,10072,Domestic Casegoods,1007118
ECR,2026-07-18,31678,Upholstery,9221478
ECR,2026-07-18,4814,Import Bedding,816443
ECR,2026-07-18,7660,Domestic Bedding,2388120
ECR,2026-07-18,37191,Import Casegoods,6167036
ECR,2026-07-18,4481,Imported Upholstery,2642768
1  ,2026-07-25,4487,Import Bedding,805382
1  ,2026-07-25,33613,Import Casegoods,5193291
1  ,2026-07-25,16845,Domestic Casegoods,1700780
1  ,2026-07-25,22810,Upholstery,6441536
1  ,2026-07-25,3928,Imported Upholstery,2002278
1  ,2026-07-25,6855,Domestic Bedding,2295586
15 ,2026-07-25,15424,Upholstery,4397220
15 ,2026-07-25,79,Marketplace,0
15 ,2026-07-25,6261,Import Bedding,1121508
15 ,2026-07-25,2086,Imported Upholstery,1171418
15 ,2026-07-25,8567,Domestic Bedding,3089315
15 ,2026-07-25,7692,Domestic Casegoods,803408
15 ,2026-07-25,24678,Import Casegoods,3808323
17 ,2026-07-25,6881,Domestic Bedding,2401295
17 ,2026-07-25,4672,Import Bedding,904453
17 ,2026-07-25,16007,Upholstery,4643730
17 ,2026-07-25,32962,Import Casegoods,5510622
17 ,2026-07-25,3334,Imported Upholstery,1947004
17 ,2026-07-25,8457,Domestic Casegoods,849776
28 ,2026-07-25,1848,Imported Upholstery,1148796
28 ,2026-07-25,3747,Import Bedding,690058
28 ,2026-07-25,4738,Domestic Bedding,1674740
28 ,2026-07-25,9963,Upholstery,2917298
28 ,2026-07-25,17774,Import Casegoods,2825272
28 ,2026-07-25,4311,Domestic Casegoods,440812
335,2026-07-25,5602,Imported Upholstery,3099786
335,2026-07-25,12,Domestic Casegoods,1903
335,2026-07-25,408,Import Bedding,210590
335,2026-07-25,28420,Import Casegoods,5002244
335,2026-07-25,11299,Upholstery,3160984
42 ,2026-07-25,0,Domestic Casegoods,0
42 ,2026-07-25,0,Upholstery,0
42 ,2026-07-25,0,Import Casegoods,0
5  ,2026-07-25,27019,Import Casegoods,4117346
5  ,2026-07-25,15423,Upholstery,4484742
5  ,2026-07-25,5268,Domestic Casegoods,545046
5  ,2026-07-25,6192,Import Bedding,1115655
5  ,2026-07-25,8188,Domestic Bedding,2944636
5  ,2026-07-25,3128,Imported Upholstery,1902808
5  ,2026-07-25,54,Marketplace,0
ECR,2026-07-25,8165,Domestic Bedding,2631687
ECR,2026-07-25,30483,Upholstery,8857298
ECR,2026-07-25,9761,Domestic Casegoods,981446
ECR,2026-07-25,34052,Import Casegoods,5534208
ECR,2026-07-25,5165,Import Bedding,898687
ECR,2026-07-25,115,Marketplace,0
ECR,2026-07-25,4334,Imported Upholstery,2558174
1  ,2026-08-01,23146,Upholstery,6528952
1  ,2026-08-01,31972,Import Casegoods,4921494
1  ,2026-08-01,16975,Domestic Casegoods,1710696
1  ,2026-08-01,6953,Domestic Bedding,2346423
1  ,2026-08-01,4531,Import Bedding,819746
1  ,2026-08-01,3241,Imported Upholstery,1795938
15 ,2026-08-01,26225,Import Casegoods,4007732
15 ,2026-08-01,6443,Import Bedding,1175905
15 ,2026-08-01,7964,Domestic Casegoods,829410
15 ,2026-08-01,15625,Upholstery,4434180
15 ,2026-08-01,79,Marketplace,0
15 ,2026-08-01,2042,Imported Upholstery,1167982
15 ,2026-08-01,8649,Domestic Bedding,3105876
17 ,2026-08-01,5083,Import Bedding,960371
17 ,2026-08-01,35091,Import Casegoods,5559657
17 ,2026-08-01,8736,Domestic Casegoods,880338
17 ,2026-08-01,15776,Upholstery,4594886
17 ,2026-08-01,3399,Imported Upholstery,1991449
17 ,2026-08-01,7455,Domestic Bedding,2650353
28 ,2026-08-01,19137,Import Casegoods,2935191
28 ,2026-08-01,4453,Domestic Casegoods,455770
28 ,2026-08-01,10187,Upholstery,2982429
28 ,2026-08-01,3962,Import Bedding,692068
28 ,2026-08-01,1916,Imported Upholstery,1185829
28 ,2026-08-01,5183,Domestic Bedding,1865485
335,2026-08-01,6233,Imported Upholstery,3412695
335,2026-08-01,9,Domestic Casegoods,1508
335,2026-08-01,437,Import Bedding,223679
335,2026-08-01,12184,Upholstery,3421776
335,2026-08-01,28022,Import Casegoods,4972880
42 ,2026-08-01,0,Upholstery,0
42 ,2026-08-01,0,Domestic Casegoods,0
42 ,2026-08-01,0,Import Casegoods,0
5  ,2026-08-01,8345,Domestic Bedding,3022741
5  ,2026-08-01,3239,Imported Upholstery,1975018
5  ,2026-08-01,52,Marketplace,0
5  ,2026-08-01,6190,Import Bedding,1124954
5  ,2026-08-01,27898,Import Casegoods,4214594
5  ,2026-08-01,15594,Upholstery,4530815
5  ,2026-08-01,5407,Domestic Casegoods,557756
ECR,2026-08-01,105,Marketplace,0
ECR,2026-08-01,7842,Domestic Bedding,2581856
ECR,2026-08-01,35409,Import Casegoods,5647560
ECR,2026-08-01,4435,Imported Upholstery,2619122
ECR,2026-08-01,30928,Upholstery,8980692
ECR,2026-08-01,5471,Import Bedding,932404
ECR,2026-08-01,9993,Domestic Casegoods,1001988
1  ,2026-08-08,18021,Domestic Casegoods,1816323
1  ,2026-08-08,4466,Import Bedding,785146
1  ,2026-08-08,24636,Upholstery,6948870
1  ,2026-08-08,37102,Import Casegoods,5560758
1  ,2026-08-08,6854,Domestic Bedding,2273297
1  ,2026-08-08,3442,Imported Upholstery,1902585
15 ,2026-08-08,6249,Import Bedding,1125359
15 ,2026-08-08,16712,Upholstery,4746775
15 ,2026-08-08,2201,Imported Upholstery,1243558
15 ,2026-08-08,24809,Import Casegoods,3779256
15 ,2026-08-08,79,Marketplace,0
15 ,2026-08-08,8533,Domestic Casegoods,887227
15 ,2026-08-08,8386,Domestic Bedding,2967576
17 ,2026-08-08,16541,Upholstery,4813460
17 ,2026-08-08,6845,Domestic Bedding,2348842
17 ,2026-08-08,34827,Import Casegoods,5582787
17 ,2026-08-08,9281,Domestic Casegoods,934467
17 ,2026-08-08,4575,Import Bedding,891383
17 ,2026-08-08,3537,Imported Upholstery,2069857
28 ,2026-08-08,17252,Import Casegoods,2700279
28 ,2026-08-08,4576,Domestic Bedding,1595988
28 ,2026-08-08,2028,Imported Upholstery,1255958
28 ,2026-08-08,4849,Domestic Casegoods,491062
28 ,2026-08-08,3424,Import Bedding,619053
28 ,2026-08-08,10725,Upholstery,3138870
335,2026-08-08,12539,Upholstery,3513732
335,2026-08-08,6293,Imported Upholstery,3472050
335,2026-08-08,13,Domestic Casegoods,1981
335,2026-08-08,456,Import Bedding,229837
335,2026-08-08,29586,Import Casegoods,5276638
42 ,2026-08-08,0,Domestic Casegoods,0
42 ,2026-08-08,0,Import Casegoods,0
42 ,2026-08-08,0,Upholstery,0
5  ,2026-08-08,56,Marketplace,0
5  ,2026-08-08,5820,Import Bedding,1044699
5  ,2026-08-08,16474,Upholstery,4794132
5  ,2026-08-08,5805,Domestic Casegoods,597166
5  ,2026-08-08,28232,Import Casegoods,4309514
5  ,2026-08-08,7996,Domestic Bedding,2845625
5  ,2026-08-08,3658,Imported Upholstery,2187752
ECR,2026-08-08,10600,Domestic Casegoods,1063042
ECR,2026-08-08,7568,Domestic Bedding,2404054
ECR,2026-08-08,4671,Imported Upholstery,2768178
ECR,2026-08-08,118,Marketplace,0
ECR,2026-08-08,33167,Upholstery,9650090
ECR,2026-08-08,33198,Import Casegoods,5354021
ECR,2026-08-08,5201,Import Bedding,894714
1  ,2026-08-15,6827,Domestic Bedding,2276117
1  ,2026-08-15,4367,Import Bedding,771206
1  ,2026-08-15,17504,Domestic Casegoods,1762154
1  ,2026-08-15,35656,Import Casegoods,5286905
1  ,2026-08-15,23641,Upholstery,6673606
1  ,2026-08-15,3377,Imported Upholstery,1867869
15 ,2026-08-15,78,Marketplace,0
15 ,2026-08-15,15982,Upholstery,4546521
15 ,2026-08-15,2266,Imported Upholstery,1273268
15 ,2026-08-15,8303,Domestic Casegoods,862795
15 ,2026-08-15,6251,Import Bedding,1108722
15 ,2026-08-15,24194,Import Casegoods,3717040
15 ,2026-08-15,8372,Domestic Bedding,2973958
17 ,2026-08-15,6819,Domestic Bedding,2346517
17 ,2026-08-15,9031,Domestic Casegoods,906383
17 ,2026-08-15,31074,Import Casegoods,5004808
