Billable Capacity Review,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Ecomm Capacity Review,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Outbound Total Capacity Review,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Week,PCS FCST,WoW Capacity +/-,Capacity (40),Capacity (45),Capacity (50),Capacity (55),Week,PCS FCST,Capacity (40),Capacity (45),Capacity (50),Capacity (55),Week,PCS FCST,Capacity (40),Capacity (45),Capacity (50),Capacity (55)
2026-03-07 00:00:00,,-,0,0,0,0,2026-03-07 00:00:00,,0,0,0,0,2026-03-07 00:00:00,,0,0,0,0
2026-03-14 00:00:00,,,0,0,0,0,2026-03-14 00:00:00,,0,0,0,0,2026-03-14 00:00:00,,0,0,0,0
2026-03-21 00:00:00,,,0,0,0,0,2026-03-21 00:00:00,,0,0,0,0,2026-03-21 00:00:00,,0,0,0,0
2026-03-28 00:00:00,,,0,0,0,0,2026-03-28 00:00:00,,0,0,0,0,2026-03-28 00:00:00,,0,0,0,0
2026-04-04 00:00:00,,,0,0,0,0,2026-04-04 00:00:00,,0,0,0,0,2026-04-04 00:00:00,,0,0,0,0
2026-04-11 00:00:00,,,0,0,0,0,2026-04-11 00:00:00,,0,0,0,0,2026-04-11 00:00:00,,0,0,0,0
2026-04-18 00:00:00,,,0,0,0,0,2026-04-18 00:00:00,,0,0,0,0,2026-04-18 00:00:00,,0,0,0,0
2026-04-25 00:00:00,,,0,0,0,0,2026-04-25 00:00:00,,0,0,0,0,2026-04-25 00:00:00,,0,0,0,0
2026-05-02 00:00:00,,,0,0,0,0,2026-05-02 00:00:00,,0,0,0,0,2026-05-02 00:00:00,,0,0,0,0
2026-05-09 00:00:00,,,0,0,0,0,2026-05-09 00:00:00,,0,0,0,0,2026-05-09 00:00:00,,0,0,0,0
2026-05-16 00:00:00,,,0,0,0,0,2026-05-16 00:00:00,,0,0,0,0,2026-05-16 00:00:00,,0,0,0,0
2026-05-23 00:00:00,,,0,0,0,0,2026-05-23 00:00:00,,0,0,0,0,2026-05-23 00:00:00,,0,0,0,0
2026-05-30 00:00:00,,,0,0,0,0,2026-05-30 00:00:00,,0,0,0,0,2026-05-30 00:00:00,,0,0,0,0
2026-06-06 00:00:00,,,0,0,0,0,2026-06-06 00:00:00,,0,0,0,0,2026-06-06 00:00:00,,0,0,0,0
2026-06-13 00:00:00,,,0,0,0,0,2026-06-13 00:00:00,,0,0,0,0,2026-06-13 00:00:00,,0,0,0,0
2026-06-20 00:00:00,,,0,0,0,0,2026-06-20 00:00:00,,0,0,0,0,2026-06-20 00:00:00,,0,0,0,0
2026-06-27 00:00:00,,,0,0,0,0,2026-06-27 00:00:00,,0,0,0,0,2026-06-27 00:00:00,,0,0,0,0
2026-07-04 00:00:00,,,0,0,0,0,2026-07-04 00:00:00,,0,0,0,0,2026-07-04 00:00:00,,0,0,0,0
2026-07-11 00:00:00,,,0,0,0,0,2026-07-11 00:00:00,,0,0,0,0,2026-07-11 00:00:00,,0,0,0,0
2026-07-18 00:00:00,,,0,0,0,0,2026-07-18 00:00:00,,0,0,0,0,2026-07-18 00:00:00,,0,0,0,0
2026-07-25 00:00:00,,,0,0,0,0,2026-07-25 00:00:00,,0,0,0,0,2026-07-25 00:00:00,,0,0,0,0
2026-08-01 00:00:00,,,0,0,0,0,2026-08-01 00:00:00,,0,0,0,0,2026-08-01 00:00:00,,0,0,0,0
2026-08-08 00:00:00,,,0,0,0,0,2026-08-08 00:00:00,,0,0,0,0,2026-08-08 00:00:00,,0,0,0,0
2026-08-15 00:00:00,,,0,0,0,0,2026-08-15 00:00:00,,0,0,0,0,2026-08-15 00:00:00,,0,0,0,0
,,,,,,,,,,,,,,,,,,
CG Receive Capacity Review,,,,,,,UPH Receive Capacity Review,,,,,,Inbound Total Capacity Review,,,,,
Week,PCS FCST,WoW Capacity +/-,Capacity (40),Capacity (45),Capacity (50),Capacity (55),Week,PCS FCST,Capacity (40),Capacity (45),Capacity (50),Capacity (55),Week,PCS FCST,Capacity (40),Capacity (45),Capacity (50),Capacity (55)
2026-03-07 00:00:00,45867,-,0,0,0,0,2026-03-07 00:00:00,4541,0,0,0,0,2026-03-07 00:00:00,50408,0,0,0,0
2026-03-14 00:00:00,74880,0.6325462750997449,0,0,0,0,2026-03-14 00:00:00,12110,0,0,0,0,2026-03-14 00:00:00,86990,0,0,0,0
2026-03-21 00:00:00,43853,-0.4143563034188034,0,0,0,0,2026-03-21 00:00:00,5241,0,0,0,0,2026-03-21 00:00:00,49094,0,0,0,0
2026-03-28 00:00:00,60570,0.38120539073723575,0,0,0,0,2026-03-28 00:00:00,6398,0,0,0,0,2026-03-28 00:00:00,66968,0,0,0,0
2026-04-04 00:00:00,38734,-0.3605085025590226,0,0,0,0,2026-04-04 00:00:00,4610,0,0,0,0,2026-04-04 00:00:00,43344,0,0,0,0
2026-04-11 00:00:00,48762,0.2588939949398461,0,0,0,0,2026-04-11 00:00:00,5559,0,0,0,0,2026-04-11 00:00:00,54321,0,0,0,0
2026-04-18 00:00:00,29966,-0.3854640908904475,0,0,0,0,2026-04-18 00:00:00,4619,0,0,0,0,2026-04-18 00:00:00,34585,0,0,0,0
2026-04-25 00:00:00,29321,-0.021524394313555364,0,0,0,0,2026-04-25 00:00:00,4809,0,0,0,0,2026-04-25 00:00:00,34130,0,0,0,0
2026-05-02 00:00:00,33789,0.15238225162852562,0,0,0,0,2026-05-02 00:00:00,2998,0,0,0,0,2026-05-02 00:00:00,36787,0,0,0,0
2026-05-09 00:00:00,31718,-0.06129213649412531,0,0,0,0,2026-05-09 00:00:00,9194,0,0,0,0,2026-05-09 00:00:00,40912,0,0,0,0
2026-05-16 00:00:00,40166,0.26634718456397,0,0,0,0,2026-05-16 00:00:00,7314,0,0,0,0,2026-05-16 00:00:00,47480,0,0,0,0
2026-05-23 00:00:00,68348,0.7016382014639247,0,0,0,0,2026-05-23 00:00:00,6748,0,0,0,0,2026-05-23 00:00:00,75096,0,0,0,0
2026-05-30 00:00:00,47037,-0.3118013694621642,0,0,0,0,2026-05-30 00:00:00,7372,0,0,0,0,2026-05-30 00:00:00,54409,0,0,0,0
2026-06-06 00:00:00,54721,0.1633607585517784,0,0,0,0,2026-06-06 00:00:00,6468,0,0,0,0,2026-06-06 00:00:00,61189,0,0,0,0
2026-06-13 00:00:00,54762,0.0007492553133166426,0,0,0,0,2026-06-13 00:00:00,7333,0,0,0,0,2026-06-13 00:00:00,62095,0,0,0,0
2026-06-20 00:00:00,47822,-0.12673021438223586,0,0,0,0,2026-06-20 00:00:00,5735,0,0,0,0,2026-06-20 00:00:00,53557,0,0,0,0
2026-06-27 00:00:00,45032,-0.05834134916983815,0,0,0,0,2026-06-27 00:00:00,5505,0,0,0,0,2026-06-27 00:00:00,50537,0,0,0,0
2026-07-04 00:00:00,45670,0.01416770296677918,0,0,0,0,2026-07-04 00:00:00,6005,0,0,0,0,2026-07-04 00:00:00,51675,0,0,0,0
2026-07-11 00:00:00,48431,0.0604554412086709,0,0,0,0,2026-07-11 00:00:00,5598,0,0,0,0,2026-07-11 00:00:00,54029,0,0,0,0
2026-07-18 00:00:00,50335,0.03931366273667692,0,0,0,0,2026-07-18 00:00:00,6047,0,0,0,0,2026-07-18 00:00:00,56382,0,0,0,0
2026-07-25 00:00:00,45360,-0.09883778682825071,0,0,0,0,2026-07-25 00:00:00,5939,0,0,0,0,2026-07-25 00:00:00,51299,0,0,0,0
2026-08-01 00:00:00,61974,0.36626984126984125,0,0,0,0,2026-08-01 00:00:00,7949,0,0,0,0,2026-08-01 00:00:00,69923,0,0,0,0
2026-08-08 00:00:00,47434,-0.2346145157646755,0,0,0,0,2026-08-08 00:00:00,6413,0,0,0,0,2026-08-08 00:00:00,53847,0,0,0,0
2026-08-15 00:00:00,49175,0.03670363030737446,0,0,0,0,2026-08-15 00:00:00,6233,0,0,0,0,2026-08-15 00:00:00,55408,0,0,0,0
,,,,,,,,,,,,,,,,,,
Transfer Out Capacity Review,,,,,,,,,,,,,,,,,,
Week,PCS FCST,WoW Capacity +/-,Capacity (40),Capacity (45),Capacity (50),Capacity (55),,,,,,,,,,,,
2026-03-07 00:00:00,8140.4,-,0,0,0,0,,,,,,,,,,,,
2026-03-14 00:00:00,16265.6,0.9981327698884577,0,0,0,0,,,,,,,,,,,,
2026-03-21 00:00:00,13952.8,-0.14218965178044468,0,0,0,0,,,,,,,,,,,,
2026-03-28 00:00:00,93631.8,5.710610056762801,0,0,0,0,,,,,,,,,,,,
2026-04-04 00:00:00,35766.6,-0.6180079844668158,0,0,0,0,,,,,,,,,,,,
2026-04-11 00:00:00,32410.068000000003,-0.09384543121236001,0,0,0,0,,,,,,,,,,,,
2026-04-18 00:00:00,54287.478,0.6750189478158453,0,0,0,0,,,,,,,,,,,,
2026-04-25 00:00:00,48090.234,-0.11415604902478627,0,0,0,0,,,,,,,,,,,,
2026-05-02 00:00:00,18013.814,-0.6254163787183901,0,0,0,0,,,,,,,,,,,,
2026-05-09 00:00:00,12566.918,-0.3023732786404922,0,0,0,0,,,,,,,,,,,,
2026-05-16 00:00:00,16419.858,0.3065938681226376,0,0,0,0,,,,,,,,,,,,
2026-05-23 00:00:00,24336.857999999997,0.4821600771456121,0,0,0,0,,,,,,,,,,,,
2026-05-30 00:00:00,22473.724,-0.07655606159184553,0,0,0,0,,,,,,,,,,,,
2026-06-06 00:00:00,18414.942,-0.1806012212306247,0,0,0,0,,,,,,,,,,,,
2026-06-13 00:00:00,17459.624,-0.05187732874749208,0,0,0,0,,,,,,,,,,,,
2026-06-20 00:00:00,14641.171999999999,-0.16142684401451035,0,0,0,0,,,,,,,,,,,,
2026-06-27 00:00:00,16124.289999999999,0.1012977649603461,0,0,0,0,,,,,,,,,,,,
2026-07-04 00:00:00,22093.707999999995,0.37021276595744657,0,0,0,0,,,,,,,,,,,,
2026-07-11 00:00:00,16419.858,-0.2568084089823219,0,0,0,0,,,,,,,,,,,,
2026-07-18 00:00:00,15448.705999999998,-0.059144969463195224,0,0,0,0,,,,,,,,,,,,
2026-07-25 00:00:00,19116.915999999997,0.237444482405193,0,0,0,0,,,,,,,,,,,,
2026-08-01 00:00:00,15575.377999999999,-0.1852567642186637,0,0,0,0,,,,,,,,,,,,
2026-08-08 00:00:00,15068.689999999999,-0.03253134530667571,0,0,0,0,,,,,,,,,,,,
2026-08-15 00:00:00,15295.643999999998,0.015061295971978967,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Total Outbound / Total Inbound PCS FCST Review,,,,,,,,,,,,,,,,,,
Week,Outbound Total PCS FCST,Inbound Total PCS FCST,OB/IB Ratio,,,,,,,,,,,,,,,
2026-03-07 00:00:00,,50408,,,,,,,,,,,,,,,,
2026-03-14 00:00:00,,86990,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,,49094,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,,66968,,,,,,,,,,,,,,,,
2026-04-04 00:00:00,,43344,,,,,,,,,,,,,,,,
2026-04-11 00:00:00,,54321,,,,,,,,,,,,,,,,
2026-04-18 00:00:00,,34585,,,,,,,,,,,,,,,,
2026-04-25 00:00:00,,34130,0,,,,,,,,,,,,,,,
2026-05-02 00:00:00,,36787,0,,,,,,,,,,,,,,,
2026-05-09 00:00:00,,40912,0,,,,,,,,,,,,,,,
2026-05-16 00:00:00,,47480,0,,,,,,,,,,,,,,,
2026-05-23 00:00:00,,75096,0,,,,,,,,,,,,,,,
2026-05-30 00:00:00,,54409,0,,,,,,,,,,,,,,,
2026-06-06 00:00:00,,61189,0,,,,,,,,,,,,,,,
2026-06-13 00:00:00,,62095,0,,,,,,,,,,,,,,,
2026-06-20 00:00:00,,53557,0,,,,,,,,,,,,,,,
2026-06-27 00:00:00,,50537,0,,,,,,,,,,,,,,,
2026-07-04 00:00:00,,51675,0,,,,,,,,,,,,,,,
2026-07-11 00:00:00,,54029,0,,,,,,,,,,,,,,,
2026-07-18 00:00:00,,56382,0,,,,,,,,,,,,,,,
2026-07-25 00:00:00,,51299,0,,,,,,,,,,,,,,,
2026-08-01 00:00:00,,69923,0,,,,,,,,,,,,,,,
2026-08-08 00:00:00,,53847,0,,,,,,,,,,,,,,,
2026-08-15 00:00:00,,55408,0,,,,,,,,,,,,,,,
