Row Labels,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,Sum of PurchaseOrderPcs,Sum of Containers,Sum of TransferInPcs,Sum of TransferInTrucks,Sum of TransferOutPcs,Sum of ProductionPcs,,,,,,,,,,,,,,,,,,,,,,
2026-04-18 00:00:00,29966,58,33,38148,5539,1.33,7366.870000000001,,2026-04-18 00:00:00,29966,58,33,0,5539,1.55,8585.45,,2026-04-18 00:00:00,29966,58,33,0,5539,8.66,47967.74,,2026-04-18 00:00:00,29966,58,33,0,5539,2.9,16063.1,,2026-04-18 00:00:00,29966,58,33,0,5539,9.8,54282.200000000004,,2026-04-18 00:00:00,29966,58,33,0,5539,1.103,6109.517,,2026-04-18 00:00:00,0,0,0,0,0,1,0,,2026-04-18 00:00:00,58171,189,0,0,0,1.492,0
2026-04-25 00:00:00,29321,56,36,50456,3642,1.33,4843.860000000001,,2026-04-25 00:00:00,29321,56,36,0,3642,2.15,7830.299999999999,,2026-04-25 00:00:00,29321,56,36,0,3642,8.66,31539.72,,2026-04-25 00:00:00,29321,56,36,0,3642,3.75,13657.5,,2026-04-25 00:00:00,29321,56,36,0,3642,13.2,48074.399999999994,,2026-04-25 00:00:00,29321,56,36,0,3642,1.103,4017.1259999999997,,2026-04-25 00:00:00,0,0,0,0,0,1,0,,2026-04-25 00:00:00,51136,167,0,0,0,1.492,0
2026-05-02 00:00:00,33789,44,46,43527,3413,1.33,4539.29,,2026-05-02 00:00:00,33789,44,46,0,3413,1.9,6484.7,,2026-05-02 00:00:00,33789,44,46,0,3413,8.66,29556.58,,2026-05-02 00:00:00,33789,44,46,0,3413,1,3413,,2026-05-02 00:00:00,33789,44,46,0,3413,5.278,18013.814,,2026-05-02 00:00:00,33789,44,46,0,3413,1.103,3764.5389999999998,,2026-05-02 00:00:00,0,0,0,0,0,1,0,,2026-05-02 00:00:00,73344,242,0,0,0,1.492,0
2026-05-09 00:00:00,31718,76,38,50769,2381,1.33,3166.73,,2026-05-09 00:00:00,31718,76,38,0,2381,1.9,4523.9,,2026-05-09 00:00:00,31718,76,38,0,2381,8.66,20619.46,,2026-05-09 00:00:00,31718,76,38,0,2381,1,2381,,2026-05-09 00:00:00,31718,76,38,0,2381,5.278,12566.918,,2026-05-09 00:00:00,31718,76,38,0,2381,1.103,2626.243,,2026-05-09 00:00:00,0,0,0,0,0,1,0,,2026-05-09 00:00:00,49369,156,0,0,0,1.492,0
2026-05-16 00:00:00,40166,92,43,51638,3111,1.33,4137.63,,2026-05-16 00:00:00,40166,92,43,0,3111,1.9,5910.9,,2026-05-16 00:00:00,40166,92,43,0,3111,8.66,26941.260000000002,,2026-05-16 00:00:00,40166,92,43,0,3111,1,3111,,2026-05-16 00:00:00,40166,92,43,0,3111,5.278,16419.858,,2026-05-16 00:00:00,40166,92,43,0,3111,1.103,3431.433,,2026-05-16 00:00:00,0,0,0,0,0,1,0,,2026-05-16 00:00:00,66933,192,0,0,0,1.492,0
2026-05-23 00:00:00,68348,193,43,51818,4610,1.33,6131.3,,2026-05-23 00:00:00,68348,193,43,0,4610,1.9,8759,,2026-05-23 00:00:00,68348,193,43,0,4610,8.66,39922.6,,2026-05-23 00:00:00,68348,193,43,0,4610,1,4610,,2026-05-23 00:00:00,68348,193,43,0,4610,5.278,24331.579999999998,,2026-05-23 00:00:00,68348,193,43,0,4610,1.103,5084.83,,2026-05-23 00:00:00,0,0,0,0,0,1,0,,2026-05-23 00:00:00,51439,144,0,0,0,1.492,0
2026-05-30 00:00:00,47037,113,44,41455,4252,1.33,5655.16,,2026-05-30 00:00:00,47037,113,44,0,4252,1.9,8078.799999999999,,2026-05-30 00:00:00,47037,113,44,0,4252,8.66,36822.32,,2026-05-30 00:00:00,47037,113,44,0,4252,1,4252,,2026-05-30 00:00:00,47037,113,44,0,4252,5.278,22442.055999999997,,2026-05-30 00:00:00,47037,113,44,0,4252,1.103,4689.956,,2026-05-30 00:00:00,0,0,0,0,0,1,0,,2026-05-30 00:00:00,51016,148,0,0,0,1.492,0
2026-06-06 00:00:00,54721,148,39,51818,3483,1.33,4632.39,,2026-06-06 00:00:00,54721,148,39,0,3483,1.9,6617.7,,2026-06-06 00:00:00,54721,148,39,0,3483,8.66,30162.78,,2026-06-06 00:00:00,54721,148,39,0,3483,1,3483,,2026-06-06 00:00:00,54721,148,39,0,3483,5.278,18383.273999999998,,2026-06-06 00:00:00,54721,148,39,0,3483,1.103,3841.749,,2026-06-06 00:00:00,0,0,0,0,0,1,0,,2026-06-06 00:00:00,55035,170,0,0,0,1.492,0
2026-06-13 00:00:00,54762,143,43,50376,3302,1.33,4391.66,,2026-06-13 00:00:00,54762,143,43,0,3302,1.9,6273.799999999999,,2026-06-13 00:00:00,54762,143,43,0,3302,8.66,28595.32,,2026-06-13 00:00:00,54762,143,43,0,3302,1,3302,,2026-06-13 00:00:00,54762,143,43,0,3302,5.278,17427.956,,2026-06-13 00:00:00,54762,143,43,0,3302,1.103,3642.1059999999998,,2026-06-13 00:00:00,0,0,0,0,0,1,0,,2026-06-13 00:00:00,48938,155,0,0,0,1.492,0
2026-06-20 00:00:00,47822,119,42,47683,2769,1.33,3682.77,,2026-06-20 00:00:00,47822,119,42,0,2769,1.9,5261.099999999999,,2026-06-20 00:00:00,47822,119,42,0,2769,8.66,23979.54,,2026-06-20 00:00:00,47822,119,42,0,2769,1,2769,,2026-06-20 00:00:00,47822,119,42,0,2769,5.278,14614.782,,2026-06-20 00:00:00,47822,119,42,0,2769,1.103,3054.207,,2026-06-20 00:00:00,0,0,0,0,0,1,0,,2026-06-20 00:00:00,55169,162,0,0,0,1.492,0
2026-06-27 00:00:00,45032,109,45,37658,3049,1.33,4055.17,,2026-06-27 00:00:00,45032,109,45,0,3049,1.9,5793.099999999999,,2026-06-27 00:00:00,45032,109,45,0,3049,8.66,26404.34,,2026-06-27 00:00:00,45032,109,45,0,3049,1,3049,,2026-06-27 00:00:00,45032,109,45,0,3049,5.278,16092.622,,2026-06-27 00:00:00,45032,109,45,0,3049,1.103,3363.047,,2026-06-27 00:00:00,0,0,0,0,0,1,0,,2026-06-27 00:00:00,51732,158,0,0,0,1.492,0
2026-07-04 00:00:00,45670,121,33,40616,4178,1.33,5556.740000000001,,2026-07-04 00:00:00,45670,121,33,0,4178,1.9,7938.2,,2026-07-04 00:00:00,45670,121,33,0,4178,8.66,36181.48,,2026-07-04 00:00:00,45670,121,33,0,4178,1,4178,,2026-07-04 00:00:00,45670,121,33,0,4178,5.278,22051.483999999997,,2026-07-04 00:00:00,45670,121,33,0,4178,1.103,4608.334,,2026-07-04 00:00:00,0,0,0,0,0,1,0,,2026-07-04 00:00:00,48134,151,0,0,0,1.492,0
2026-07-11 00:00:00,48431,115,44,46569,3104,1.33,4128.320000000001,,2026-07-11 00:00:00,48431,115,44,0,3104,1.9,5897.599999999999,,2026-07-11 00:00:00,48431,115,44,0,3104,8.66,26880.64,,2026-07-11 00:00:00,48431,115,44,0,3104,1,3104,,2026-07-11 00:00:00,48431,115,44,0,3104,5.278,16382.911999999998,,2026-07-11 00:00:00,48431,115,44,0,3104,1.103,3423.712,,2026-07-11 00:00:00,0,0,0,0,0,1,0,,2026-07-11 00:00:00,55013,156,0,0,0,1.492,0
2026-07-18 00:00:00,50335,128,40,45703,2920,1.33,3883.6000000000004,,2026-07-18 00:00:00,50335,128,40,0,2920,1.9,5548,,2026-07-18 00:00:00,50335,128,40,0,2920,8.66,25287.2,,2026-07-18 00:00:00,50335,128,40,0,2920,1,2920,,2026-07-18 00:00:00,50335,128,40,0,2920,5.278,15411.759999999998,,2026-07-18 00:00:00,50335,128,40,0,2920,1.103,3220.7599999999998,,2026-07-18 00:00:00,0,0,0,0,0,1,0,,2026-07-18 00:00:00,51397,157,0,0,0,1.492,0
2026-07-25 00:00:00,45360,107,43,48888,3617,1.33,4810.610000000001,,2026-07-25 00:00:00,45360,107,43,0,3617,1.9,6872.299999999999,,2026-07-25 00:00:00,45360,107,43,0,3617,8.66,31323.22,,2026-07-25 00:00:00,45360,107,43,0,3617,1,3617,,2026-07-25 00:00:00,45360,107,43,0,3617,5.278,19090.525999999998,,2026-07-25 00:00:00,45360,107,43,0,3617,1.103,3989.551,,2026-07-25 00:00:00,0,0,0,0,0,1,0,,2026-07-25 00:00:00,51951,153,0,0,0,1.492,0
2026-08-01 00:00:00,61974,158,50,44654,2950,1.33,3923.5,,2026-08-01 00:00:00,61974,158,50,0,2950,1.9,5605,,2026-08-01 00:00:00,61974,158,50,0,2950,8.66,25547,,2026-08-01 00:00:00,61974,158,50,0,2950,1,2950,,2026-08-01 00:00:00,61974,158,50,0,2950,5.278,15570.099999999999,,2026-08-01 00:00:00,61974,158,50,0,2950,1.103,3253.85,,2026-08-01 00:00:00,0,0,0,0,0,1,0,,2026-08-01 00:00:00,59187,191,0,0,0,1.492,0
2026-08-08 00:00:00,47434,120,38,47035,2854,1.33,3795.82,,2026-08-08 00:00:00,47434,120,38,0,2854,1.9,5422.599999999999,,2026-08-08 00:00:00,47434,120,38,0,2854,8.66,24715.64,,2026-08-08 00:00:00,47434,120,38,0,2854,1,2854,,2026-08-08 00:00:00,47434,120,38,0,2854,5.278,15063.411999999998,,2026-08-08 00:00:00,47434,120,38,0,2854,1.103,3147.962,,2026-08-08 00:00:00,0,0,0,0,0,1,0,,2026-08-08 00:00:00,53207,159,0,0,0,1.492,0
2026-08-15 00:00:00,49175,118,43,47284,2897,1.33,3853.01,,2026-08-15 00:00:00,49175,118,43,0,2897,1.9,5504.3,,2026-08-15 00:00:00,49175,118,43,0,2897,8.66,25088.02,,2026-08-15 00:00:00,49175,118,43,0,2897,1,2897,,2026-08-15 00:00:00,49175,118,43,0,2897,5.278,15290.365999999998,,2026-08-15 00:00:00,49175,118,43,0,2897,1.103,3195.391,,2026-08-15 00:00:00,0,0,0,0,0,1,0,,2026-08-15 00:00:00,52057,157,0,0,0,1.492,0
2026-08-22 00:00:00,49944,120,43,51650,3527,1.33,4690.91,,2026-08-22 00:00:00,49944,120,43,0,3527,1.9,6701.299999999999,,2026-08-22 00:00:00,49944,120,43,0,3527,8.66,30543.82,,2026-08-22 00:00:00,49944,120,43,0,3527,1,3527,,2026-08-22 00:00:00,49944,120,43,0,3527,5.278,18615.505999999998,,2026-08-22 00:00:00,49944,120,43,0,3527,1.103,3890.281,,2026-08-22 00:00:00,0,0,0,0,0,1,0,,2026-08-22 00:00:00,53490,158,0,0,0,1.492,0
2026-08-29 00:00:00,39431,84,38,46054,3024,1.33,4021.92,,2026-08-29 00:00:00,39431,84,38,0,3024,1.9,5745.599999999999,,2026-08-29 00:00:00,39431,84,38,0,3024,8.66,26187.84,,2026-08-29 00:00:00,39431,84,38,0,3024,1,3024,,2026-08-29 00:00:00,39431,84,38,0,3024,5.278,15960.671999999999,,2026-08-29 00:00:00,39431,84,38,0,3024,1.103,3335.4719999999998,,2026-08-29 00:00:00,0,0,0,0,0,1,0,,2026-08-29 00:00:00,50505,132,0,0,0,1.492,0
2026-09-05 00:00:00,52122,114,48,49113,2827,1.33,3759.9100000000003,,2026-09-05 00:00:00,52122,114,48,0,2827,1.9,5371.3,,2026-09-05 00:00:00,52122,114,48,0,2827,8.66,24481.82,,2026-09-05 00:00:00,52122,114,48,0,2827,1,2827,,2026-09-05 00:00:00,52122,114,48,0,2827,5.278,14920.905999999999,,2026-09-05 00:00:00,52122,114,48,0,2827,1.103,3118.181,,2026-09-05 00:00:00,0,0,0,0,0,1,0,,2026-09-05 00:00:00,57487,169,0,0,0,1.492,0
2026-09-12 00:00:00,50327,124,41,43938,3058,1.33,4067.1400000000003,,2026-09-12 00:00:00,50327,124,41,0,3058,1.9,5810.2,,2026-09-12 00:00:00,50327,124,41,0,3058,8.66,26482.28,,2026-09-12 00:00:00,50327,124,41,0,3058,1,3058,,2026-09-12 00:00:00,50327,124,41,0,3058,5.278,16140.123999999998,,2026-09-12 00:00:00,50327,124,41,0,3058,1.103,3372.974,,2026-09-12 00:00:00,0,0,0,0,0,1,0,,2026-09-12 00:00:00,60445,173,0,0,0,1.492,0
2026-09-19 00:00:00,46018,111,38,44851,2742,1.33,3646.86,,2026-09-19 00:00:00,46018,111,38,0,2742,1.9,5209.8,,2026-09-19 00:00:00,46018,111,38,0,2742,8.66,23745.72,,2026-09-19 00:00:00,46018,111,38,0,2742,1,2742,,2026-09-19 00:00:00,46018,111,38,0,2742,5.278,14472.275999999998,,2026-09-19 00:00:00,46018,111,38,0,2742,1.103,3024.426,,2026-09-19 00:00:00,0,0,0,0,0,1,0,,2026-09-19 00:00:00,51439,154,0,0,0,1.492,0
2026-09-26 00:00:00,47053,113,38,35137,2324,1.33,3090.92,,2026-09-26 00:00:00,47053,113,38,0,2324,1.9,4415.599999999999,,2026-09-26 00:00:00,47053,113,38,0,2324,8.66,20125.84,,2026-09-26 00:00:00,47053,113,38,0,2324,1,2324,,2026-09-26 00:00:00,47053,113,38,0,2324,5.278,12266.071999999998,,2026-09-26 00:00:00,47053,113,38,0,2324,1.103,2563.372,,2026-09-26 00:00:00,0,0,0,0,0,1,0,,2026-09-26 00:00:00,43641,146,0,0,0,1.492,0
2026-10-03 00:00:00,48643,134,21,37334,2816,1.33,3745.28,,2026-10-03 00:00:00,48643,134,21,0,2816,1.9,5350.4,,2026-10-03 00:00:00,48643,134,21,0,2816,8.66,24386.56,,2026-10-03 00:00:00,48643,134,21,0,2816,1,2816,,2026-10-03 00:00:00,48643,134,21,0,2816,5.278,14862.847999999998,,2026-10-03 00:00:00,48643,134,21,0,2816,1.103,3106.048,,2026-10-03 00:00:00,0,0,0,0,0,1,0,,2026-10-03 00:00:00,48446,170,0,0,0,1.492,0
2026-10-10 00:00:00,51769,120,45,43199,3006,1.33,3997.98,,2026-10-10 00:00:00,51769,120,45,0,3006,1.9,5711.4,,2026-10-10 00:00:00,51769,120,45,0,3006,8.66,26031.96,,2026-10-10 00:00:00,51769,120,45,0,3006,1,3006,,2026-10-10 00:00:00,51769,120,45,0,3006,5.278,15865.667999999998,,2026-10-10 00:00:00,51769,120,45,0,3006,1.103,3315.618,,2026-10-10 00:00:00,0,0,0,0,0,1,0,,2026-10-10 00:00:00,35960,139,0,0,0,1.492,0
2026-10-17 00:00:00,53989,122,46,42092,2846,1.33,3785.1800000000003,,2026-10-17 00:00:00,53989,122,46,0,2846,1.9,5407.4,,2026-10-17 00:00:00,53989,122,46,0,2846,8.66,24646.36,,2026-10-17 00:00:00,53989,122,46,0,2846,1,2846,,2026-10-17 00:00:00,53989,122,46,0,2846,5.278,15021.187999999998,,2026-10-17 00:00:00,53989,122,46,0,2846,1.103,3139.138,,2026-10-17 00:00:00,0,0,0,0,0,1,0,,2026-10-17 00:00:00,30689,132,0,0,0,1.492,0
2026-10-24 00:00:00,53621,121,43,45178,3033,1.33,4033.8900000000003,,2026-10-24 00:00:00,53621,121,43,0,3033,1.9,5762.7,,2026-10-24 00:00:00,53621,121,43,0,3033,8.66,26265.78,,2026-10-24 00:00:00,53621,121,43,0,3033,1,3033,,2026-10-24 00:00:00,53621,121,43,0,3033,5.278,16008.173999999999,,2026-10-24 00:00:00,53621,121,43,0,3033,1.103,3345.399,,2026-10-24 00:00:00,0,0,0,0,0,1,0,,2026-10-24 00:00:00,30080,129,0,0,0,1.492,0
2026-10-31 00:00:00,62029,150,56,45548,3269,1.33,4347.77,,2026-10-31 00:00:00,62029,150,56,0,3269,1.9,6211.099999999999,,2026-10-31 00:00:00,62029,150,56,0,3269,8.66,28309.54,,2026-10-31 00:00:00,62029,150,56,0,3269,1,3269,,2026-10-31 00:00:00,62029,150,56,0,3269,5.278,17253.782,,2026-10-31 00:00:00,62029,150,56,0,3269,1.103,3605.707,,2026-10-31 00:00:00,0,0,0,0,0,1,0,,2026-10-31 00:00:00,39057,166,0,0,0,1.492,0
2026-11-07 00:00:00,53657,121,40,44516,2596,1.33,3452.6800000000003,,2026-11-07 00:00:00,53657,121,40,0,2596,1.9,4932.4,,2026-11-07 00:00:00,53657,121,40,0,2596,8.66,22481.36,,2026-11-07 00:00:00,53657,121,40,0,2596,1,2596,,2026-11-07 00:00:00,53657,121,40,0,2596,5.278,13701.687999999998,,2026-11-07 00:00:00,53657,121,40,0,2596,1.103,2863.388,,2026-11-07 00:00:00,0,0,0,0,0,1,0,,2026-11-07 00:00:00,35550,151,0,0,0,1.492,0
2026-11-14 00:00:00,44273,110,41,19482,0,1.33,0,,2026-11-14 00:00:00,44273,110,41,0,0,1.9,0,,2026-11-14 00:00:00,44273,110,41,0,0,8.66,0,,2026-11-14 00:00:00,44273,110,41,0,0,1,0,,2026-11-14 00:00:00,44273,110,41,0,0,5.278,0,,2026-11-14 00:00:00,44273,110,41,0,0,1.103,0,,2026-11-14 00:00:00,0,0,0,0,0,1,0,,2026-11-14 00:00:00,35596,151,0,0,0,1.492,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia UPH,,,,,,,,,Leesport UPH,,,,,,,,13 WK AVG ,Mesquite UPH,,,,,,,,,Redlands UPH,,,,,,,,,Advance UPH,,,,,,,,,ECRU UPH		,,,,,,,,,Spanaway UPH,,,,,,,,,335 UPH,,,,,,,
Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume,,Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume,523,Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume,,Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume,13 WK AVG,Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume,13 WK AVG ,Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume,,Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume,,Weekending,PCS FCST,PO,TO,UPH Production ,Transfer Out,Unplanned Transfer Factor,Adjusted Transfer Out Volume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,,,,,,,,,1312,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-07 00:00:00,4541,64,7,21996,1366,1,1366,116366,2026-03-07 00:00:00,4541,64,7,13476,1366,1,1366,63884,2026-03-07 00:00:00,4541,64,7,4849,1366,1,1366,55257,2026-03-07 00:00:00,4541,64,7,13476,1366,7.04,9616.64,63884,2026-03-07 00:00:00,4541,64,7,21996,1366,2.9,3961.4,72404,2026-03-07 00:00:00,4541,64,7,21996,1366,1,1366,72404,2026-03-07 00:00:00,0,0,0,0,0,2,0,,2026-03-07 00:00:00,7322,117,0,0,0,1.492,0
2026-03-14 00:00:00,12110,100,64,21656,312,1.33,414.96000000000004,153566,2026-03-14 00:00:00,12110,100,64,12334,312,1.4,436.79999999999995,99324,2026-03-14 00:00:00,12110,100,64,4886,312,8.66,2701.92,91876,2026-03-14 00:00:00,12110,100,64,12334,312,7.64,2383.68,99324,2026-03-14 00:00:00,12110,100,64,21656,312,8.55,2667.6000000000004,108646,2026-03-14 00:00:00,12110,100,64,21656,312,1.103,344.13599999999997,108646,2026-03-14 00:00:00,0,0,0,0,0,2,0,,2026-03-14 00:00:00,12614,205,0,0,0,1.492,0
2026-03-21 00:00:00,5241,47,25,14835,166,1.33,220.78,101878,2026-03-21 00:00:00,5241,47,25,13665,166,5.45,904.7,62759,2026-03-21 00:00:00,5241,47,25,3043,166,8.66,1437.56,52137,2026-03-21 00:00:00,5241,47,25,13665,166,74.5,12367,62759,2026-03-21 00:00:00,5241,47,25,14835,166,16.65,2763.8999999999996,63929,2026-03-21 00:00:00,5241,47,25,14835,166,1.103,183.09799999999998,63929,2026-03-21 00:00:00,0,0,0,0,0,2,0,,2026-03-21 00:00:00,21426,368,0,0,0,1.492,0
2026-03-28 00:00:00,6398,49,35,26660,6,1.33,7.98,122952,2026-03-28 00:00:00,6398,49,35,10408,6,32.5,195,77376,2026-03-28 00:00:00,6398,49,35,3459,6,8.66,51.96,70427,2026-03-28 00:00:00,6398,49,35,10408,6,2.19,13.14,77376,2026-03-28 00:00:00,6398,49,35,26660,6,25.3,151.8,93628,2026-03-28 00:00:00,6398,49,35,26660,6,1.103,6.618,93628,2026-03-28 00:00:00,0,0,0,0,0,2,0,,2026-03-28 00:00:00,19470,297,0,0,0,1.492,0
2026-04-04 00:00:00,4610,43,18,13770,34,1.33,45.22,98737,2026-04-04 00:00:00,4610,43,18,5630,34,65,2210,48974,2026-04-04 00:00:00,4610,43,18,1038,34,8.66,294.44,44382,2026-04-04 00:00:00,4610,43,18,5630,34,44.5,1513,48974,2026-04-04 00:00:00,4610,43,18,13770,34,59.6,2026.4,57114,2026-04-04 00:00:00,4610,43,18,13770,34,1.103,37.502,57114,2026-04-04 00:00:00,0,0,0,0,0,2,0,,2026-04-04 00:00:00,40566,656,0,0,0,1.492,0
2026-04-11 00:00:00,5559,46,25,21604,6,1.33,7.98,114073,2026-04-11 00:00:00,5559,46,25,14740,6,87,522,69061,2026-04-11 00:00:00,5559,46,25,4268,6,8.66,51.96,58589,2026-04-11 00:00:00,5559,46,25,14740,6,19.05,114.30000000000001,69061,2026-04-11 00:00:00,5559,46,25,21604,6,5.278,31.668,75925,2026-04-11 00:00:00,5559,46,25,21604,6,1.103,6.618,75925,2026-04-11 00:00:00,0,0,0,0,0,2,0,,2026-04-11 00:00:00,25031,383,0,0,0,1.492,0
2026-04-18 00:00:00,4619,19,45,17898,1,1.33,1.33,90631,2026-04-18 00:00:00,4619,19,45,11769,1,2.21,2.21,46354,2026-04-18 00:00:00,4619,19,45,5816,1,8.66,8.66,40401,2026-04-18 00:00:00,4619,19,45,11769,1,1.05,1.05,46354,2026-04-18 00:00:00,4619,19,45,17898,1,5.278,5.278,52483,2026-04-18 00:00:00,4619,19,45,17898,1,1.103,1.103,52483,2026-04-18 00:00:00,0,0,0,0,0,1,0,,2026-04-18 00:00:00,25783,401,0,0,0,1.492,0
2026-04-25 00:00:00,4809,28,39,23844,3,1.33,3.99,108430,2026-04-25 00:00:00,4809,28,39,10474,3,2.21,6.63,44604,2026-04-25 00:00:00,4809,28,39,5062,3,8.66,25.98,39192,2026-04-25 00:00:00,4809,28,39,10474,3,38.9,116.69999999999999,44604,2026-04-25 00:00:00,4809,28,39,23844,3,5.278,15.834,57974,2026-04-25 00:00:00,4809,28,39,23844,3,1.103,3.309,57974,2026-04-25 00:00:00,0,0,0,0,0,1,0,,2026-04-25 00:00:00,18516,292,0,0,0,1.492,0
2026-05-02 00:00:00,2998,13,25,19440,0,1.33,0,99754,2026-05-02 00:00:00,2998,13,25,14685,0,1.75,0,51472,2026-05-02 00:00:00,2998,13,25,4958,0,8.66,0,41745,2026-05-02 00:00:00,2998,13,25,14685,0,2.19,0,51472,2026-05-02 00:00:00,2998,13,25,19440,0,5.278,0,56227,2026-05-02 00:00:00,2998,13,25,19440,0,1.103,0,56227,2026-05-02 00:00:00,0,0,0,0,0,1,0,,2026-05-02 00:00:00,22257,357,0,0,0,1.492,0
2026-05-09 00:00:00,9194,64,59,21771,0,1.33,0,113452,2026-05-09 00:00:00,9194,64,59,11809,0,1.75,0,52721,2026-05-09 00:00:00,9194,64,59,3778,0,8.66,0,44690,2026-05-09 00:00:00,9194,64,59,11809,0,2.19,0,52721,2026-05-09 00:00:00,9194,64,59,21771,0,5.278,0,62683,2026-05-09 00:00:00,9194,64,59,21771,0,1.103,0,62683,2026-05-09 00:00:00,0,0,0,0,0,1,0,,2026-05-09 00:00:00,18366,292,0,0,0,1.492,0
2026-05-16 00:00:00,7314,48,47,19918,0,1.33,0,119036,2026-05-16 00:00:00,7314,48,47,14740,0,1.75,0,62220,2026-05-16 00:00:00,7314,48,47,4037,0,8.66,0,51517,2026-05-16 00:00:00,7314,48,47,14740,0,2.19,0,62220,2026-05-16 00:00:00,7314,48,47,19918,0,5.278,0,67398,2026-05-16 00:00:00,7314,48,47,19918,0,1.103,0,67398,2026-05-16 00:00:00,0,0,0,0,0,1,0,,2026-05-16 00:00:00,16251,261,0,0,0,1.492,0
2026-05-23 00:00:00,6748,50,37,23652,1,1.33,1.33,150566,2026-05-23 00:00:00,6748,50,37,13569,1,1.75,1.75,88665,2026-05-23 00:00:00,6748,50,37,3960,1,8.66,8.66,79056,2026-05-23 00:00:00,6748,50,37,13569,1,2.19,2.19,88665,2026-05-23 00:00:00,6748,50,37,23652,1,5.278,5.278,98748,2026-05-23 00:00:00,6748,50,37,23652,1,1.103,1.103,98748,2026-05-23 00:00:00,0,0,0,0,0,1,0,,2026-05-23 00:00:00,17790,274,0,0,0,1.492,0
2026-05-30 00:00:00,7372,57,42,24060,6,1.33,7.98,119924,2026-05-30 00:00:00,7372,57,42,14740,6,1.75,10.5,69149,2026-05-30 00:00:00,7372,57,42,4133,6,8.66,51.96,58542,2026-05-30 00:00:00,7372,57,42,14740,6,2.19,13.14,69149,2026-05-30 00:00:00,7372,57,42,24060,6,5.278,31.668,78469,2026-05-30 00:00:00,7372,57,42,24060,6,1.103,6.618,78469,2026-05-30 00:00:00,0,0,0,0,0,1,0,,2026-05-30 00:00:00,17540,274,0,0,0,1.492,0
2026-06-06 00:00:00,6468,45,41,22346,6,1.33,7.98,135353,2026-06-06 00:00:00,6468,45,41,13410,6,1.75,10.5,74599,2026-06-06 00:00:00,6468,45,41,4400,6,8.66,51.96,65589,2026-06-06 00:00:00,6468,45,41,13410,6,2.19,13.14,74599,2026-06-06 00:00:00,6468,45,41,22346,6,5.278,31.668,83535,2026-06-06 00:00:00,6468,45,41,22346,6,1.103,6.618,83535,2026-06-06 00:00:00,0,0,0,0,0,1,0,,2026-06-06 00:00:00,19604,311,0,0,0,1.492,0
2026-06-13 00:00:00,7333,50,45,20979,6,1.33,7.98,133450,2026-06-13 00:00:00,7333,50,45,13882,6,1.75,10.5,75977,2026-06-13 00:00:00,7333,50,45,5823,6,8.66,51.96,67918,2026-06-13 00:00:00,7333,50,45,13882,6,2.19,13.14,75977,2026-06-13 00:00:00,7333,50,45,20979,6,5.278,31.668,83074,2026-06-13 00:00:00,7333,50,45,20979,6,1.103,6.618,83074,2026-06-13 00:00:00,0,0,0,0,0,1,0,,2026-06-13 00:00:00,19529,313,0,0,0,1.492,0
